,quant,lora_rank,evaluation
0,sparse,original,69.61
1,sparse,quantized,54.89
2,sparse,2,56.18
3,sparse,4,59.49
4,sparse,8,56.24
5,sparse,16,55.89
6,sparse,32,62.43
7,sparse,64,64.28
8,sparse,128,61.66
9,int1,original,70.13
10,int1,quantized,50.28
11,int1,2,64.15
12,int1,4,62.73
13,int1,8,62.68
14,int1,16,62.87
15,int1,32,64.04
16,int1,64,64.84
17,int1,128,65.12
